Gene	exp(HR)	95% CI-Low (exp(HR))	95% CI-High (exp(HR))	Std Err of HR
A1BG	3.034429922	1.239888074	7.426287217	0.456642299
A1CF	1.95912206	1.211068023	3.169235066	0.245409515
A2BP1	9.03E-06	4.34E-12	18.76584842	7.422345343
A2BP1	0.00066866	1.88E-06	0.238315981	2.998053737
A2BP1	1.54E-13	6.07E-23	0.000389344	11.04731965
A2LD1	1.533469193	0.620512149	3.789656284	0.461611906
A2LD1	0.001394258	5.10E-06	0.381239011	2.862840491
A2M	1.685121715	0.915016855	3.103369278	0.311562148
A2M	1.53E-10	2.17E-18	0.010822673	9.221360451
A2ML1	4.38E-10	8.55E-18	0.022499797	9.058039479
A1BG	3.034429922	1.239888074	7.426287217	0.456642299
A1CF	1.95912206	1.211068023	3.169235066	0.245409515
A2BP1	9.03E-06	4.34E-12	18.76584842	7.422345343
A2BP1	0.00066866	1.88E-06	0.238315981	2.998053737
A2BP1	1.54E-13	6.07E-23	0.000389344	11.04731965
A2LD1	1.533469193	0.620512149	3.789656284	0.461611906
A2LD1	0.001394258	5.10E-06	0.381239011	2.862840491
A2M	1.685121715	0.915016855	3.103369278	0.311562148
A2M	1.53E-10	2.17E-18	0.010822673	9.221360451
A2ML1	4.38E-10	8.55E-18	0.022499797	9.058039479
A1BG	3.034429922	1.239888074	7.426287217	0.456642299
A1CF	1.95912206	1.211068023	3.169235066	0.245409515
A2BP1	9.03E-06	4.34E-12	18.76584842	7.422345343
A2BP1	0.00066866	1.88E-06	0.238315981	2.998053737
A2BP1	1.54E-13	6.07E-23	0.000389344	11.04731965
A2LD1	1.533469193	0.620512149	3.789656284	0.461611906
A2LD1	0.001394258	5.10E-06	0.381239011	2.862840491
A2M	1.685121715	0.915016855	3.103369278	0.311562148
A2M	1.53E-10	2.17E-18	0.010822673	9.221360451
A2ML1	4.38E-10	8.55E-18	0.022499797	9.058039479
A1BG	3.034429922	1.239888074	7.426287217	0.456642299
A1CF	1.95912206	1.211068023	3.169235066	0.245409515
A2BP1	9.03E-06	4.34E-12	18.76584842	7.422345343
A2BP1	0.00066866	1.88E-06	0.238315981	2.998053737
A2BP1	1.54E-13	6.07E-23	0.000389344	11.04731965
A2LD1	1.533469193	0.620512149	3.789656284	0.461611906
A2LD1	0.001394258	5.10E-06	0.381239011	2.862840491
A2M	1.685121715	0.915016855	3.103369278	0.311562148
A2M	1.53E-10	2.17E-18	0.010822673	9.221360451
A2ML1	4.38E-10	8.55E-18	0.022499797	9.058039479
